No,NamaKiri,AsalKiri,NamaKanan,AsalKanan
79,Tuah Panglimo Keramat Olang Putih,Btrjl Hulu/INHU,Lintasan Dubalang Sati,Koto Sentajo/SR
80,Puti Kirana Sonsong Barat,Ds Manggis Kari/KT,Pendekar Mudo Bukik Harapan,Dusun Tuo/ΚΗ
81,Tuah Selendang Putri Andini H.N,Btrjl Hilir/INHU,Lompatan Dubalang Kucieng Itom,Danau/ KHS
82,Binti Mandi,Pl Kijang/KH,Lancang Keramat Saronggo Inai,Pl Lancang/BNI
83,Batu Hijau Tuah Negeri,Btrjl Barat/INHU,Cahaya Baru,Sukaping/PGN
84,Pangeran Hilir Rantau Kuantan,Teluk Pauh/CRT,Lancang Kuning Rantau Kuantan,Pl Panjang Hilir/INM
85,Sutan Benai,Koto Benai/BNI,Toduang Bakotat,Pauh Angit/PGN
86,Tuah Ratu Bukit Awan,Beringin Jaya/SR,Cahayo Koghi Tuah Nagori,Trt Jering/ KHS
87,Linggar Jati,Pl Kumpai/PGN,Raja Laut,Sei Sorik/ KHS
88,Siganteng Ibu Kota,Sawah/KT,Tuah Koghi Dubalang Ghajo 2025,Pt Gobang Kari/KT
89,Singa Ngarai,Pl Kalimanting/BNI,Pendekar Kayangan Tuah Nagori,Pembatang/PGN
90,Agung Kuantan Kualo Ronangan,Pl Tongah/BNI,Puntiang Baliyuang Sirajo Beleng,Pl Komang/SR
91,Tuah Intan Selendang Mayang,Gn Kesiangan/BNI,Siluman Ulagh Bidai Lubuk Patin,Katipo Pura/INHU
92,Puti Mandi Mayang Taurai,Rantau Sialang/KM,Halilintar Gelombang Cahaya Putih,Sei Kelelawar/HK
93,Lompatan Keramat Panjang,Pl Baru Kopah/KT,Nago Kuantan Benteng Nagoghi,Kp Baru/CRT
94,Bomber,Siberakun/BNI,Garuda Baru,Pl MungkurGT/
95,Panglimo Gagak Itam Sungai Onangan,Seb Pl Busuk/INM,Rajo Tunggal,Seb Taluk/KT
96,Dek Lasak Untuong Jadi,Seb Pl Busuk/INM,Datuok Keramat Tuah Nagoghi,Sikijang/LTD
97,Rimbo Sakti Saiyo Batuah,Prhtn Luas/LTD,Guntuang Sati Tuah Nagori,Siberobah/GT
98,Ngiang Kuantan Cahayo Nagori,Kampung Baru/GT,Pendekar Mudo 2016,Seb Pantai/KM
99,Tuah Srikandi Rantau Kuantan,Kompe Berangin/CRT,Sutan Nan Garang,Pl Kumpai/PGN
100,Ratu Bertuah Seghanjau Danau M,Pl Sengkilo/INHU,Sultan Muda,Pauhranap/INHU
101,Tuah Carano Mendulang Ome,Pl Bayur/CRT,Pendekar Mudo,Seb Pantai/KM
102,Tuah Inayan Mondulang Untuang,Pl Aro/KT,Harimau Paing,Pl Banjar Kari/KT
103,Selendang Putri Danau Seroja,Tj Simandolak/BNI,Tanjung Ghasau Benteng Batuah,Pematang/INHU
104,Mahkota Ghajo Bujang Danau Pauh,Lb Sitarak/INHU,Ular Putie Linggo Biso,Pl Kulur/ KHS
105,Pejuang Muda Danau Kompe,Benai Kecil/BNI,Terusan Nago Kuantan,Luai/KM
106,Limbago Sati Rantau Kuantan,Kopah/KT,Panglimo Gajah Putih,Tebing Tinggi/BNI
107,Mariam Onggang Parau,Kepala Pulau/KH,Telabang Sati Miyor Dubalang Hitam,Kamang Baru/SBR
108,Titian Akar Lubuak Balanti,Kinali/KM,Toduang Kuantan,Tanah Bekali/PGN
109,Badai Gangga,Koto Taluk/KT,Untung Bertuah,Danau Baru/INHU
110,Pendekar Sakti Rantau Kuantan,Koto Rajo/ KHS,Palimo Olang Putie,Sei Alah/HK
111,Ombak Nyalo Simutuolang,Pl Tongah/PGN,Bintang Medan Kuansing,Sei Jering/KT
112,Tuah Keramat Kancil Putih,Koto Cengar/KM,Rawang Udang,Talontam/BNI
113,Ghajo Siluman Buayo Danou,Bandar Alai/KT,Langkah Siluman Buayo Danou 2024,Sitorajo Kari/KT
114,Gagak Itom,Banuaran/KH,Putri Mahkota Bunga Setangkai,Sigaruntang/INM
